Seed,3,4,5,6,7,8,9,10
74,-3.568153901,-1.193612107,-2.099206748,-3.204940617,-7.084590402,-6.781783909,-6.184429663,-8.077982258
75,-2.93804769,-2.941415859,-1.843713825,-1.721127628,-4.77261232,-9.372514777,-6.051304558,-9.18993606
76,-0.8285876504,-0.6310334587,-5.543534907,-2.299737991,-6.101957797,-7.012090054,-8.590102683,-6.054673278
77,-1.155423737,-1.270598204,-2.584498173,-5.774222562,-4.644654567,-6.162135624,-5.767231209,-4.023102312
78,-1.244106544,-3.096231356,-2.22461006,-5.431722783,-3.971964341,-6.842536962,-3.215596999,-10.10960661
79,-1.34611612,-2.78744366,-3.451868343,-4.788579402,-3.300269757,-4.036082646,-8.716643497,-5.923582887
80,-0.9448900865,-2.736385754,-4.36129138,-5.621617116,-8.411002454,-7.820508962,-5.082492585,-4.731734412
81,-0.6746800961,-2.389355839,-4.846957356,-4.942441831,-5.214516449,-8.820188506,-4.934044641,-9.076797188
82,-0.142588222,-2.523833181,-2.414348381,-5.280857402,-5.354249008,-6.700883147,-6.578640349,-8.096586341
83,-1.276989091,-2.503248334,-2.693166776,-5.65656858,-3.62898518,-4.393525649,-4.431056526,-5.33366587
84,-1.184061573,-4.783883502,-5.599600204,-5.059257849,-4.577905666,-6.009320526,-8.294750281,-9.097451723
85,-1.235492439,-2.232024497,-4.354511837,-6.135129444,-5.222675794,-5.489867323,-6.227700256,-6.507411261
86,-1.037009618,-3.08151761,-3.60590016,-5.208503937,-5.31130049,-6.493461949,-5.614624715,-5.715185702
87,-2.074395895,-3.411909343,-1.503853001,-7.338812006,-3.211370348,-7.328969776,-5.457918293,-5.649518592
88,-1.698032931,-1.406624116,-2.596925541,-2.779714368,-5.072748819,-5.130147429,-6.584779336,-9.747857749
89,-1.435228166,-2.253809319,-3.114551096,-3.571829393,-7.153091148,-6.91248012,-10.42448983,-4.918047215
90,-1.457245551,-2.834063629,-4.88302884,-3.786664739,-4.027155483,-6.344618497,-5.802950491,-7.759995383
91,-0.8216435855,-1.902752473,-2.636485701,-2.669258918,-4.997497916,-6.701912192,-7.100164752,-8.3194142
92,-1.778979427,-2.062400069,-3.258097552,-4.914593179,-2.871297498,-6.781650927,-4.151232374,-7.761454419
93,-2.081531216,-3.617024175,-3.795207921,-2.937138711,-4.953000633,-3.32389172,-5.462070872,-7.129185726
94,-1.557618051,-1.663522532,-1.406860358,-4.72422472,-6.903422381,-4.041938935,-8.800814481,-8.852771502
95,-0.7373744175,-0.8713587096,-2.076477162,-5.759177703,-3.091859482,-6.574725471,-6.008338828,-7.294315455
96,-2.14511315,-0.995503506,-4.027367818,-3.660377674,-5.180815055,-4.578908929,-9.574725872,-5.090138224
97,-1.139636806,-2.52025194,-5.027544961,-2.454500992,-3.027955521,-5.706680136,-6.57089185,-6.274467073
98,-1.065675781,-1.144541483,-3.443178782,-3.090709962,-2.499757506,-5.516665375,-4.102665172,-6.491970809
99,-1.138133975,-3.266967156,-1.909172337,-4.208200657,-4.309982404,-3.752918878,-7.080319533,-6.370413207
100,-1.128053744,-3.050394783,-1.726649495,-0.9933177243,-8.55269058,-6.20090096,-4.824929666,-4.491718486
101,-1.498184651,-2.939471358,-3.130972297,-3.61645914,-6.456332821,-4.169548398,-8.253304838,-6.691707761
102,-1.523337863,-1.718481237,-2.64655634,-5.052260092,-4.352329851,-7.444446818,-8.483365644,-6.942679231
103,-1.964266062,-1.42197988,-3.642133846,-3.026692269,-4.958765281,-7.148719911,-6.924739319,-8.532692213
104,-3.438746472,-3.836271947,-1.668035614,-5.844722443,-2.225145797,-4.708834643,-9.681406678,-7.24785565
105,-1.01488442,-3.197677551,-3.013931384,-5.078356357,-5.451451209,-3.004450504,-4.523818579,-7.785542326
106,-0.800461811,-0.7313219736,-3.950391382,-3.494103809,-4.703542071,-5.265737187,-6.85964455,-6.611847082
107,-0.9078922624,-2.860648304,-4.84872431,-2.993540768,-6.817304517,-3.440682863,-8.85726798,-5.466196603
108,-3.356376286,-3.089508264,-1.614092622,-3.563836039,-4.462460992,-3.53319691,-5.41646865,-5.568058741
109,-0.4426441351,-1.289852714,-2.81666018,-6.337875495,-5.082628202,-5.644397388,-5.934553872,-8.369772171
110,-3.255546194,-2.627202108,-3.545822584,-2.776480368,-3.568016357,-10.99849029,-6.124564156,-8.848767679
111,-1.860742179,-2.029566577,-2.083697173,-3.042263964,-5.852516783,-7.584404672,-8.783533064,-9.271686815
112,-0.09794263485,-2.558015094,-4.406681714,-3.234346253,-4.832475466,-3.497189822,-7.975554421,-6.338912841
113,-0.7734998972,-3.34679149,-2.755484624,-4.081916607,-5.612075867,-4.37482689,-3.841541953,-5.896168198
114,-1.118467219,-1.520032726,-2.085926275,-2.794129224,-7.710767319,-6.422606954,-7.892700644,-7.212901769
115,-2.382545132,-3.202348317,-2.27428495,-4.439770428,-1.888552326,-6.921987749,-8.824530321,-5.379927279
116,-1.888050894,-1.975460648,-3.40015434,-4.180850829,-4.246135987,-8.587619684,-4.954030416,-10.47265263
117,-1.723173344,-3.407767425,-0.7047040984,-3.800317258,-4.540977355,-5.838416113,-3.677533943,-6.991548914
118,-2.050487187,-2.226925898,-4.889190893,-2.714658769,-5.702362245,-6.377550476,-6.823038933,-9.091525144
119,-1.728519475,-2.575614919,-2.353664468,-2.835676439,-2.166119985,-5.544505877,-5.606532833,-7.62159975
120,-2.151052066,-2.911705833,-4.133671722,-4.861867265,-3.710429486,-4.884713146,-4.267495816,-8.398088682
121,-1.15616218,-3.192538763,-4.662173854,-3.327739837,-4.778480986,-3.636730575,-9.647698987,-7.928722537
122,-1.303175827,-2.629047727,-2.902926763,-2.816640112,-4.676226305,-3.579591148,-4.094065226,-4.973372512
123,-1.424570779,-0.6267890722,-3.742004069,-2.401286619,-5.911887736,-7.488894705,-5.51530743,-7.474376842
124,-0.7403797656,-3.001165746,-1.969898496,-3.218713491,-4.268969581,-4.10226689,-5.60833408,-6.233515513
125,-2.531229198,-1.725699617,-3.287397309,-3.721428889,-2.123967303,-4.469234065,-4.473395612,-7.444023962
126,-0.4063939536,-0.9731390725,-3.859402297,-2.237286838,-6.116824004,-4.324552062,-6.730639914,-5.714699548
127,-0.8709513139,-2.288190504,-3.433915712,-2.364878345,-4.186940242,-5.242365971,-4.859082715,-7.174609186
128,-0.963499633,-1.844756565,-2.828135629,-3.017352046,-5.038920557,-5.119699354,-7.345435284,-8.408493846
129,-1.539123909,-2.094922142,-4.360060306,-4.470264301,-5.216270715,-7.253449797,-5.572912486,-7.423948992
130,-1.416356224,-2.6375152,-4.441945371,-3.245744407,-4.450247941,-6.079949749,-7.892768076,-7.843932663
